ID,State,Date,Day_of_Week,Weather_Conditions,Road_Conditions,Light_Conditions,Type_of_Road,Type_of_Junction,Type_of_Accident,Vehicle_Type,Driver_Age_Group,Num_Vehicles_Involved,Num_Casualties,Speed_Limit,Distance_to_Nearest_Hospital,Distance_to_Nearest_Police_Station,Visibility,Road_Width,Road_Surface_Friction_Coefficient,Vehicle_Speed,Time_Taken_for_Emergency_Response
165819,Alabama,2024-01-24 00:45:49,Wednesday,Stormy,Muddy,Dawn,Highway,T-Junction,Cyclist involved,Bicycle,Senior,3,2,32.0,7.345208699,7.516979349,558.8647655,6.537440033649001,0.784399108,49.0,17.498543705
166642,Alabama,2024-01-24 07:11:18,Saturday,Sunny,Icy,Daylight,Street,Intersection,Rollover,Truck,Young Adult,4,1,48.0,7.469533676,8.800747504,595.8138433,4.290288676,0.10151207,1.0,14.65143158
165716,Alabama,2024-01-24 22:22:27,Tuesday,Sunny,Muddy,Night,Highway,Underpass,Side collision,Motorcycle,Young Adult,2,0,51.0,0.401942381,9.724503772,838.9350164,9.68814868,0.823282378,94.0,20.07559129
165831,Alabama,2024-01-26 01:00:17,Thursday,Stormy,Wet,Daylight,Street,Crossroads,Rollover,Bicycle,Senior,4,1,59.0,1.89428703,4.339515461,938.857687,8.479913075,0.384445561,49.0,14.64438566
166309,Alabama,2024-01-29 01:48:36,Friday,Stormy,Icy,Dusk,Freeway,T-Junction,Cyclist involved,Pedestrian,Senior,1,1,54.0,5.231572823,3.435281988,653.6284279,5.426184997,0.314645316,16.0,13.85328949
166204,Alabama,2024-01-30 18:56:29,Sunday,Stormy,Muddy,Daylight,Highway,Underpass,Head-on collision,Motorcycle,Teenager,5,0,33.0,9.220947591,8.063973605,840.1608999,8.380418154,0.516796535,80.0,18.62688519
166070,Alabama,2024-02-03 06:19:17,Wednesday,Snowy,Muddy,Daylight,Rural,Crossroads,Cyclist involved,Truck,Young Adult,2,2,59.0,5.012053635,6.806031018,687.0428871,9.895493561,0.424038526,55.0,12.23145494
165957,Alabama,2024-02-06 13:55:34,Sunday,Snowy,Snowy,Daylight,Rural,Crossroads,Rollover,Pedestrian,Young Adult,5,0,40.0,8.498342421,3.025563538,410.1778516,8.482535113,0.377922897,49.0,8.001438174
165895,Alabama,2024-02-07 20:39:34,Monday,Snowy,Wet,Daylight,Highway,Overpass,Cyclist involved,Motorcycle,Adult,3,1,40.0,4.076131934,0.411572186,822.9736561,8.782301606,0.306228624,91.0,26.39659176
166020,Alabama,2024-02-08 06:54:04,Saturday,Foggy,Icy,Daylight,Highway,Underpass,Cyclist involved,Bicycle,Adult,3,0,46.0,7.689142966,1.562382439,116.8691967,4.900611711,0.173698759,9.0,6.497880787
166238,Alabama,2024-02-08 19:24:03,Saturday,Snowy,Icy,Daylight,Freeway,Crossroads,Rear-end collision,Bicycle,Teenager,3,0,65.0,2.457794401,4.142080809,823.2638126,8.411037066,0.561310493,15.0,23.53988142
165609,Alabama,2024-02-11 18:58:04,Friday,Foggy,Snowy,Dawn,Urban,Crossroads,Pedestrian involved,Bicycle,Senior,5,3,50.144131777625255,2.547248105,3.546483856,711.3262155,3.95486124,0.904028038,21.0,19.92026391
166921,Alabama,2024-02-12 22:17:18,Friday,Stormy,Dry,Night,Urban,Roundabout,Run-off-road,Truck,Adult,2,1,31.0,1.679856475,2.476781554,990.2356369,4.761643202,0.805751778,80.0,17.2638699
166133,Alabama,2024-02-14 08:08:24,Wednesday,Stormy,Wet,Dusk,Freeway,T-Junction,Pedestrian involved,Car,Senior,1,1,49.0,6.423583349,2.433199496,176.4031177,6.438357207,0.124907064,49.0,28.6457915
165817,Alabama,2024-02-16 03:35:52,Sunday,Rainy,Snowy,Night,Street,Crossroads,Rollover,Truck,Senior,5,1,66.0,7.801732728,4.042886865,645.340346,5.091916238,0.324435751,49.0,6.488233238
166298,Alabama,2024-02-17 04:56:45,Friday,Rainy,Wet,Dusk,Urban,T-Junction,Rollover,Truck,Adult,3,2,50.144131777625255,2.543776478,1.914187443,879.0737504,4.949025713,0.906087335,63.0,28.52863064
165870,Alabama,2024-02-21 19:53:59,Wednesday,Rainy,Icy,Night,Highway,T-Junction,Head-on collision,Pedestrian,Teenager,1,3,50.144131777625255,7.679588158,1.839575416,602.6066241,9.310504694,0.830842201,27.0,17.498543705
165700,Alabama,2024-02-23 18:20:36,Friday,Rainy,Snowy,Daylight,Freeway,Overpass,Run-off-road,Pedestrian,Adult,3,2,54.0,5.084626246,4.768610629,617.0613223,8.009647436,0.252121583,99.0,29.08245678
166548,Alabama,2024-02-24 14:18:19,Tuesday,Stormy,Icy,Dusk,Highway,Underpass,Head-on collision,Bicycle,Teenager,3,0,67.0,8.131874168,2.258504476,799.7062127,9.437901655,0.754775271,95.0,12.84467214
166410,Alabama,2024-02-26 17:16:21,Sunday,Snowy,Wet,Dusk,Rural,Intersection,Rollover,Motorcycle,Teenager,2,0,64.0,3.401191838,8.985826742,117.0903881,8.119572237,0.809994671,49.0,16.05060262
165491,Alaska,2024-01-01 21:27:29,Sunday,Stormy,Wet,Dusk,Freeway,Intersection,Run-off-road,Bicycle,Senior,2,2,35.0,6.014917139,8.223628598,461.4476903,4.413938451,0.597469437,41.0,16.73634858
166122,Alaska,2024-01-03 21:37:36,Monday,Sunny,Muddy,Dusk,Freeway,T-Junction,Rollover,Truck,Teenager,1,1,65.0,8.053239708,9.348920778,605.3916639,6.841909413,0.45010644,49.0,9.430402718
166826,Alaska,2024-01-04 22:58:16,Tuesday,Foggy,Dry,Dusk,Urban,Crossroads,Side collision,Motorcycle,Senior,4,1,53.0,8.718702283,0.31219328,131.6823745,6.256411075,0.865547174,65.0,21.36110154
166052,Alaska,2024-01-07 10:37:52,Thursday,Snowy,Dry,Dusk,Freeway,Underpass,Side collision,Car,Senior,2,2,50.144131777625255,5.013872434,3.072871982,435.1925557,8.688863256,0.712425902,72.0,14.30306317
166768,Alaska,2024-01-10 11:24:17,Thursday,Foggy,Wet,Dusk,Highway,Underpass,Pedestrian involved,Car,Young Adult,3,3,38.0,0.138182173,9.092201343,490.461733,9.871292503,0.651005489,6.0,24.20218954
165525,Alaska,2024-01-12 07:27:15,Monday,Rainy,Snowy,Dusk,Freeway,T-Junction,Rear-end collision,Truck,Adult,2,2,33.0,5.11223712,3.197563076,161.6676603,3.087748231,0.830240687,17.0,17.498543705
167019,Alaska,2024-01-12 13:44:34,Thursday,Rainy,Snowy,Daylight,Highway,Roundabout,Pedestrian involved,Truck,Young Adult,5,1,40.0,8.343376261,1.416903412,687.6194564,4.043306333,0.368600786,83.0,22.32817463
166514,Alaska,2024-01-15 16:05:31,Sunday,Rainy,Dry,Dusk,Street,Crossroads,Side collision,Bicycle,Adult,1,3,50.144131777625255,6.974450834,4.125083755,243.1169337,6.537440033649001,0.399445089,32.0,13.71049059
166625,Alaska,2024-01-20 17:45:30,Friday,Snowy,Wet,Dusk,Rural,Overpass,Run-off-road,Car,Teenager,3,0,46.0,8.565111198,8.395286595,187.5299277,7.684485864,0.668618382,58.0,7.476189872
166371,Alaska,2024-01-25 06:10:30,Friday,Snowy,Icy,Night,Highway,Overpass,Rollover,Truck,Teenager,4,2,40.0,1.77431238,2.176425645,445.6080739,6.680065679,0.908190216,43.0,23.45107005
166947,Alaska,2024-01-28 21:22:25,Wednesday,Sunny,Dry,Dawn,Street,Underpass,Pedestrian involved,Bicycle,Senior,3,0,41.0,2.317253728,2.70647044,441.3906683,3.243202062,0.851065789,77.0,29.92339346
165876,Alaska,2024-02-02 23:34:29,Sunday,Snowy,Dry,Dawn,Rural,Roundabout,Pedestrian involved,Bicycle,Senior,3,1,64.0,9.284299428,9.65016114,199.2673842,7.416786291,0.415302546,35.0,10.21676176
167036,Alaska,2024-02-03 11:28:37,Monday,Foggy,Muddy,Dusk,Highway,Overpass,Rear-end collision,Pedestrian,Senior,4,0,61.0,1.489865377,1.815323928,433.8075203,5.605773431,0.786088211,49.0,17.498543705
165820,Alaska,2024-02-03 23:48:45,Thursday,Rainy,Dry,Daylight,Urban,Overpass,Head-on collision,Pedestrian,Young Adult,4,0,45.0,7.254359678,8.172984755,703.1783915,9.945497128,0.894443167,26.0,17.498543705
166232,Alaska,2024-02-04 07:40:53,Sunday,Sunny,Dry,Dusk,Urban,T-Junction,Rear-end collision,Car,Young Adult,3,2,62.0,3.31400277,5.954230273,954.1055627,5.619000491,0.205612421,74.0,17.498543705
166686,Alaska,2024-02-04 12:20:32,Thursday,Snowy,Dry,Night,Highway,Underpass,Cyclist involved,Pedestrian,Senior,1,2,47.0,5.242400016,4.776700557,312.8995445,7.672196744,0.339987556,35.0,27.75642376
166141,Alaska,2024-02-04 15:18:28,Tuesday,Sunny,Snowy,Dusk,Rural,Crossroads,Cyclist involved,Bicycle,Senior,5,2,54.0,8.775735066,2.314501535,855.8775553,4.942885577,0.938282082,89.0,12.53149258
166442,Alaska,2024-02-05 18:48:28,Monday,Foggy,Muddy,Dusk,Rural,Crossroads,Rollover,Truck,Senior,3,0,63.0,7.460100978,2.675396014,228.7501274,7.673870049,0.242908575,49.0,19.27482129
166681,Alaska,2024-02-06 20:21:53,Saturday,Foggy,Snowy,Dusk,Urban,Roundabout,Run-off-road,Pedestrian,Teenager,1,3,54.0,1.24160569,8.504647198,363.7920108,4.755460762,0.143751899,49.0,11.4496111
166282,Alaska,2024-02-08 03:36:51,Sunday,Sunny,Dry,Dawn,Freeway,Underpass,Rear-end collision,Car,Young Adult,3,0,59.0,1.175255342,6.975206808,872.2803286,9.309907934,0.220073867,49.0,9.718816306
166439,Alaska,2024-02-09 04:21:15,Sunday,Foggy,Icy,Dusk,Rural,T-Junction,Side collision,Motorcycle,Teenager,3,3,51.0,7.732217966,6.711823517,692.449631,5.344972941,0.180890368,12.0,27.92924122
166179,Alaska,2024-02-14 07:20:34,Friday,Foggy,Icy,Dawn,Street,Underpass,Rollover,Pedestrian,Adult,2,1,40.0,2.231367286,1.254830028,726.3667456,9.12993066,0.854209782,61.0,17.498543705
165781,Alaska,2024-02-14 12:55:35,Wednesday,Sunny,Dry,Dusk,Urban,Underpass,Run-off-road,Bicycle,Adult,2,1,58.0,7.418232853,7.712105507,178.1904412,6.537440033649001,0.859288555,35.0,19.52517754
166420,Alaska,2024-02-15 22:40:29,Saturday,Sunny,Wet,Night,Highway,T-Junction,Rear-end collision,Car,Teenager,4,1,52.0,3.666131944,8.444446252,606.9845535,4.906860986,0.400724936,90.0,9.547167045
166803,Alaska,2024-02-17 07:46:19,Sunday,Stormy,Dry,Daylight,Rural,Overpass,Cyclist involved,Car,Young Adult,4,0,60.0,8.027251664,1.107866842,125.147569,6.062715303,0.960375611,79.0,21.96314413
166166,Alaska,2024-02-17 10:24:05,Tuesday,Stormy,Wet,Dusk,Highway,T-Junction,Cyclist involved,Car,Adult,5,1,66.0,0.438334222,6.109786834,629.5108354,5.257400497,0.597776458,9.0,26.92966193
165989,Alaska,2024-02-17 17:11:57,Friday,Foggy,Wet,Night,Freeway,Underpass,Pedestrian involved,Motorcycle,Adult,1,1,52.0,2.929623479,9.757570103,867.0164714,8.300407422,0.585207546,69.0,23.43497429
166516,Alaska,2024-02-18 09:42:21,Wednesday,Snowy,Snowy,Dusk,Highway,Underpass,Side collision,Pedestrian,Teenager,1,0,31.0,5.025884433,4.469240326,168.1869501,4.012183802,0.247687084,49.0,20.14002153
166864,Alaska,2024-02-18 11:06:36,Tuesday,Rainy,Snowy,Dawn,Street,Intersection,Rear-end collision,Car,Teenager,1,0,42.0,1.324535704,4.398056104,426.4452498,7.143244424,0.15405981,50.0,28.95740294
166851,Alaska,2024-02-18 17:43:10,Wednesday,Stormy,Wet,Daylight,Highway,Underpass,Rear-end collision,Car,Senior,1,3,39.0,3.204280602,3.446851949,233.1638902,4.895903442,0.798277306,49.0,23.06475725
165626,Alaska,2024-02-19 20:39:59,Saturday,Snowy,Dry,Night,Rural,Crossroads,Pedestrian involved,Pedestrian,Teenager,3,2,66.0,4.017734388,1.779609425,116.1150692,3.652201067,0.856144993,37.0,27.55830325
166495,Alaska,2024-02-20 23:57:07,Wednesday,Rainy,Dry,Daylight,Highway,Crossroads,Pedestrian involved,Motorcycle,Young Adult,4,3,68.0,5.32976932,9.205768982,546.4253283,8.461323154,0.144339274,44.0,27.2904687
166218,Alaska,2024-02-22 00:21:57,Sunday,Stormy,Wet,Daylight,Urban,Roundabout,Rear-end collision,Bicycle,Young Adult,4,2,65.0,4.382291332,9.695904802,124.3954782,4.290981507,0.649635521,33.0,11.04159349
165844,Alaska,2024-02-22 18:06:46,Sunday,Stormy,Snowy,Dawn,Freeway,Roundabout,Rollover,Motorcycle,Adult,4,3,67.0,3.178487024,2.012399022,738.6152466,6.537440033649001,0.884940203,49.0,19.70105559
165659,Alaska,2024-02-25 00:00:52,Tuesday,Rainy,Snowy,Daylight,Freeway,Intersection,Side collision,Truck,Teenager,4,1,60.0,2.502132558,4.606370697,406.6149845,9.311040989,0.49134479,24.0,9.336376392
166927,Alaska,2024-02-25 16:54:32,Wednesday,Stormy,Dry,Dusk,Rural,T-Junction,Rollover,Car,Teenager,5,0,41.0,8.903881617,0.738894385,556.6182281,6.310119773,0.925349136,14.0,26.47340152
166129,Alaska,2024-02-26 05:20:56,Monday,Snowy,Muddy,Daylight,Street,Intersection,Rear-end collision,Car,Teenager,4,3,47.0,8.335362462,7.596616961,218.8329151,6.6231986,0.186060616,55.0,23.91857028
166632,Alaska,2024-02-27 13:30:37,Monday,Snowy,Dry,Daylight,Rural,Underpass,Run-off-road,Truck,Young Adult,4,3,39.0,0.18651125,9.394197895,816.8926858,8.597441385,0.412864121,0.0,14.38423641
166831,Arizona,2024-01-03 14:32:11,Sunday,Stormy,Dry,Dawn,Urban,Overpass,Rollover,Truck,Adult,1,2,54.0,7.54027815,4.893586168,931.4248263,8.338687289,0.101244421,82.0,13.43513458
166638,Arizona,2024-01-05 15:20:36,Tuesday,Stormy,Muddy,Dusk,Street,Underpass,Rear-end collision,Pedestrian,Adult,1,1,44.0,9.670033855,3.845380865,891.4952086,6.582475729,0.721727402,36.0,8.924657464
166829,Arizona,2024-01-06 10:39:46,Friday,Rainy,Wet,Dawn,Street,T-Junction,Head-on collision,Bicycle,Young Adult,5,1,59.0,5.063699134,8.994349917,496.3452593,6.537440033649001,0.225382295,2.0,14.72734552
166308,Arizona,2024-01-08 04:37:19,Monday,Snowy,Dry,Night,Urban,Intersection,Cyclist involved,Pedestrian,Senior,4,1,30.0,2.544979247,1.692605909,786.940166,6.927470081,0.904370431,22.0,17.498543705
166448,Arizona,2024-01-09 04:40:15,Friday,Snowy,Icy,Dusk,Rural,Roundabout,Cyclist involved,Motorcycle,Teenager,1,0,56.0,9.494994296,2.097204032,143.23118,3.091165342,0.891319039,72.0,24.69472428
166162,Arizona,2024-01-09 17:47:43,Friday,Rainy,Icy,Night,Urban,Roundabout,Run-off-road,Truck,Teenager,2,2,67.0,0.525742614,6.592574085,799.6149302,5.91161349,0.243739005,45.0,17.498543705
166612,Arizona,2024-01-14 17:12:29,Sunday,Sunny,Wet,Dawn,Freeway,Overpass,Side collision,Truck,Young Adult,2,3,58.0,1.179165035,5.359031992,721.2041077,7.727300566,0.833886542,64.0,29.85127342
165734,Arizona,2024-01-15 10:13:50,Sunday,Foggy,Icy,Daylight,Highway,Overpass,Cyclist involved,Truck,Senior,1,2,36.0,9.884646594,8.356016096,957.3303059,4.476772611,0.853844834,49.0,24.18577092
166188,Arizona,2024-01-16 18:01:38,Thursday,Sunny,Wet,Night,Street,T-Junction,Rear-end collision,Truck,Teenager,3,3,39.0,2.982181348,4.165272597,510.3868548,5.776440919,0.688083524,66.0,20.97619637
166964,Arizona,2024-01-18 23:38:41,Sunday,Sunny,Dry,Night,Street,Intersection,Run-off-road,Bicycle,Young Adult,5,1,54.0,0.769284411,7.059097303,539.8129719,7.812251841,0.666059748,49.0,17.498543705
166765,Arizona,2024-01-19 05:17:35,Sunday,Foggy,Wet,Dawn,Street,Crossroads,Rear-end collision,Bicycle,Teenager,3,3,56.0,1.787523834,4.268236643,893.7615662,6.87383996,0.602488397,9.0,17.498543705
166224,Arizona,2024-01-19 15:21:29,Friday,Rainy,Wet,Daylight,Street,T-Junction,Cyclist involved,Motorcycle,Senior,4,2,69.0,8.546777583,6.582821454,923.1882155,5.504310823,0.262451105,33.0,12.5081573
165518,Arizona,2024-01-20 07:23:26,Friday,Rainy,Dry,Dusk,Rural,Roundabout,Cyclist involved,Pedestrian,Teenager,1,0,37.0,7.644920629,6.918704095,670.5677746,8.408559715,0.737313269,89.0,29.02620983
166380,Arizona,2024-01-20 15:30:52,Monday,Sunny,Dry,Dusk,Street,Intersection,Run-off-road,Bicycle,Adult,4,1,47.0,9.069001116,3.998923926,434.9391218,3.246307797,0.428562986,7.0,27.88352037
166799,Arizona,2024-01-24 15:19:27,Tuesday,Sunny,Snowy,Dusk,Urban,Overpass,Cyclist involved,Motorcycle,Teenager,2,2,51.0,7.551530584,1.066861518,398.1036243,6.537440033649001,0.413203799,49.0,29.12055067
167014,Arizona,2024-01-26 06:33:19,Saturday,Snowy,Wet,Night,Street,Crossroads,Run-off-road,Pedestrian,Senior,3,3,48.0,6.315617152,8.367363661,858.2533081,7.520732154,0.993652138,49.0,24.11237878
166849,Arizona,2024-01-27 18:24:19,Friday,Sunny,Dry,Dusk,Urban,T-Junction,Side collision,Motorcycle,Young Adult,5,1,63.0,6.091994455,9.891014949,351.9680498,6.537440033649001,0.260504525,63.0,20.28868698
166034,Arizona,2024-01-29 05:34:13,Monday,Foggy,Muddy,Daylight,Urban,Underpass,Cyclist involved,Motorcycle,Young Adult,2,2,50.144131777625255,1.220016039,1.831891058,952.3822766,5.185938784,0.634003307,97.0,14.72444362
166679,Arizona,2024-01-31 03:03:03,Thursday,Sunny,Dry,Night,Street,Roundabout,Cyclist involved,Truck,Teenager,1,1,42.0,8.32921729,0.432965732,847.8100346,3.762030019,0.79451192,29.0,17.46648065
166024,Arizona,2024-02-02 13:58:37,Thursday,Rainy,Dry,Daylight,Rural,Intersection,Side collision,Motorcycle,Teenager,2,0,42.0,9.791760918,7.712884653,426.2068562,6.537440033649001,0.977980144,27.0,18.17899832
165840,Arizona,2024-02-06 05:40:14,Thursday,Sunny,Icy,Dusk,Street,Crossroads,Rear-end collision,Bicycle,Teenager,4,0,42.0,6.507610893,7.102271178,610.3780893,6.31434021,0.505837047,9.0,17.498543705
166774,Arizona,2024-02-10 01:38:44,Monday,Snowy,Snowy,Daylight,Urban,Roundabout,Side collision,Motorcycle,Senior,5,2,34.0,4.39200128,3.880114863,495.5339516,4.881759851,0.249497302,49.0,20.45611539
166913,Arizona,2024-02-10 04:11:20,Friday,Snowy,Wet,Dusk,Rural,Underpass,Head-on collision,Car,Young Adult,1,3,33.0,6.114966359,8.973108746,559.8252119,5.222364014,0.723710588,95.0,5.244038879
166424,Arizona,2024-02-11 13:36:10,Tuesday,Foggy,Icy,Dawn,Urban,Underpass,Rear-end collision,Pedestrian,Adult,3,1,59.0,2.134002378,8.445253889,299.2931153,7.751977717,0.652365853,38.0,28.22520294
165580,Arizona,2024-02-13 15:34:23,Sunday,Rainy,Wet,Dawn,Rural,Underpass,Head-on collision,Pedestrian,Adult,4,1,56.0,1.784633335,7.864516481,476.653089,5.031837906,0.101670378,11.0,16.96085741
166393,Arizona,2024-02-15 00:22:52,Sunday,Snowy,Snowy,Dawn,Street,Underpass,Side collision,Pedestrian,Young Adult,5,3,70.0,4.68600604,3.535856489,177.7444221,7.391162789,0.961478319,22.0,13.13537414
166217,Arizona,2024-02-17 00:34:26,Tuesday,Foggy,Snowy,Dawn,Rural,T-Junction,Side collision,Pedestrian,Senior,4,0,32.0,2.5000743,0.384095401,117.2577704,7.725339219,0.836826415,86.0,6.254729089
166541,Arizona,2024-02-17 21:23:16,Friday,Rainy,Snowy,Night,Highway,T-Junction,Rollover,Truck,Adult,1,3,68.0,0.715124156,1.396331017,494.6918318,6.537440033649001,0.647377297,87.0,28.322111
165773,Arizona,2024-02-18 04:45:32,Monday,Foggy,Muddy,Daylight,Urban,Intersection,Cyclist involved,Motorcycle,Young Adult,4,0,67.0,8.004649256,4.537438536,306.885846,6.388449657,0.816673729,6.0,26.13364388
165752,Arizona,2024-02-18 08:25:16,Sunday,Foggy,Icy,Dusk,Rural,T-Junction,Rollover,Truck,Teenager,5,1,39.0,0.522652945,7.397805947,956.8953108,5.338727836,0.756170766,66.0,19.20770288
166750,Arizona,2024-02-18 15:23:22,Friday,Foggy,Muddy,Dusk,Freeway,Underpass,Rear-end collision,Pedestrian,Senior,3,1,50.144131777625255,6.623390381,1.840130235,278.1118008,6.537440033649001,0.928545706,93.0,19.18874875
166577,Arizona,2024-02-20 00:04:33,Wednesday,Foggy,Snowy,Daylight,Street,T-Junction,Side collision,Truck,Teenager,1,0,55.0,0.460463238,8.871597345,913.1237758,3.94938152,0.27875857,33.0,17.498543705
165511,Arizona,2024-02-21 14:19:09,Thursday,Rainy,Dry,Dawn,Highway,T-Junction,Head-on collision,Motorcycle,Young Adult,5,1,66.0,0.381564964,2.409900173,754.4184999,7.820540645,0.213017522,20.0,9.721609808
166662,Arizona,2024-02-22 05:50:21,Tuesday,Sunny,Snowy,Daylight,Street,T-Junction,Rear-end collision,Bicycle,Senior,5,1,31.0,8.69146874,3.25899811,301.3352555,3.194155814,0.828923945,15.0,7.483691018
166833,Arizona,2024-02-22 14:26:10,Tuesday,Rainy,Wet,Dawn,Rural,Intersection,Rear-end collision,Truck,Adult,4,1,41.0,5.645971101,7.83934247,566.6100709,9.451156857,0.366368459,23.0,17.498543705
166743,Arkansas,2024-01-02 06:29:30,Monday,Rainy,Snowy,Daylight,Rural,Intersection,Side collision,Car,Young Adult,4,3,34.0,0.648981531,6.199740089,493.6192376,6.537440033649001,0.50216712,92.0,22.07310371
166037,Arkansas,2024-01-07 18:38:47,Thursday,Rainy,Snowy,Night,Urban,Overpass,Rear-end collision,Car,Adult,3,0,50.144131777625255,9.907179747,3.367429549,210.2599482,6.985933059,0.245528488,49.0,26.9936539
165758,Arkansas,2024-01-10 04:01:17,Monday,Sunny,Icy,Dawn,Rural,Intersection,Pedestrian involved,Truck,Teenager,1,1,33.0,7.977719322,3.289537604,231.0879838,6.537440033649001,0.733732212,5.0,18.87624749
165520,Arkansas,2024-01-14 21:38:34,Sunday,Rainy,Icy,Dusk,Highway,T-Junction,Pedestrian involved,Truck,Adult,2,3,39.0,9.173893516,1.661848306,412.8937063,5.909645384,0.533404015,0.0,17.498543705
166147,Arkansas,2024-01-15 23:44:56,Saturday,Rainy,Muddy,Dawn,Freeway,Roundabout,Pedestrian involved,Motorcycle,Adult,2,2,48.0,5.554638319,5.059017826,365.2511093,4.250639411,0.241556378,71.0,19.8154911
166357,Arkansas,2024-01-16 20:00:03,Tuesday,Rainy,Snowy,Night,Freeway,T-Junction,Pedestrian involved,Bicycle,Teenager,1,2,62.0,0.688527655,9.141387358,225.8084126,4.727031075,0.225719931,78.0,21.40337373
166818,Arkansas,2024-01-17 16:33:27,Thursday,Rainy,Wet,Dawn,Rural,Roundabout,Run-off-road,Bicycle,Teenager,4,1,31.0,2.300951503,4.044933768,484.8643641,9.059502612,0.640849122,88.0,6.666457836
165650,Arkansas,2024-01-18 05:26:47,Saturday,Foggy,Muddy,Daylight,Freeway,T-Junction,Side collision,Truck,Senior,1,1,49.0,7.838228917,4.337144182,217.8971561,7.302481828,0.509541751,24.0,13.70350357
166396,Arkansas,2024-01-18 06:53:42,Wednesday,Snowy,Wet,Daylight,Freeway,Overpass,Rear-end collision,Bicycle,Senior,5,1,58.0,3.993942754,6.513107788,745.9909335,4.92272952,0.597304453,31.0,14.01122943
166429,Arkansas,2024-01-19 18:50:52,Wednesday,Foggy,Muddy,Dawn,Urban,Roundabout,Rollover,Car,Young Adult,3,1,70.0,9.329551263,2.128377842,481.4763786,6.537440033649001,0.540013276,95.0,18.19027518
